Problem,Package,File,Priority,Line,Description,Rule set,Rule
3,org.junit.platform.engine.support.hierarchical,dataset\projects\junit5\junit-platform-engine\src\main\java\org\junit\platform\engine\support\hierarchical\WorkerThreadPoolHierarchicalTestExecutorService.java,3,256,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.junit.platform.engine.support.store,dataset\projects\junit5\junit-platform-engine\src\main\java\org\junit\platform\engine\support\store\NamespacedHierarchicalStore.java,3,11,A value of 34 may denote a high amount of coupling within the class (threshold: 20),Design,CouplingBetweenObjects
2,org.junit.platform.engine.support.store,dataset\projects\junit5\junit-platform-engine\src\main\java\org\junit\platform\engine\support\store\NamespacedHierarchicalStore.java,3,56,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.junit.platform.launcher,dataset\projects\junit5\junit-platform-launcher\src\main\java\org\junit\platform\launcher\TagFilter.java,3,48,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.junit.platform.launcher,dataset\projects\junit5\junit-platform-launcher\src\main\java\org\junit\platform\launcher\TestPlan.java,3,62,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.junit.platform.launcher.core,dataset\projects\junit5\junit-platform-launcher\src\main\java\org\junit\platform\launcher\core\EngineDiscoveryOrchestrator.java,3,11,A value of 27 may denote a high amount of coupling within the class (threshold: 20),Design,CouplingBetweenObjects
2,org.junit.platform.launcher.core,dataset\projects\junit5\junit-platform-launcher\src\main\java\org\junit\platform\launcher\core\EngineDiscoveryOrchestrator.java,3,50,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.junit.platform.launcher.core,dataset\projects\junit5\junit-platform-launcher\src\main\java\org\junit\platform\launcher\core\EngineExecutionOrchestrator.java,3,48,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.junit.platform.launcher.core,dataset\projects\junit5\junit-platform-launcher\src\main\java\org\junit\platform\launcher\core\LauncherConfig.java,3,179,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.junit.platform.launcher.core,dataset\projects\junit5\junit-platform-launcher\src\main\java\org\junit\platform\launcher\core\LauncherDiscoveryRequestBuilder.java,3,96,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.junit.platform.launcher.core,dataset\projects\junit5\junit-platform-launcher\src\main\java\org\junit\platform\launcher\core\LauncherFactory.java,3,67,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.junit.platform.launcher.core,dataset\projects\junit5\junit-platform-launcher\src\main\java\org\junit\platform\launcher\core\StreamInterceptingTestExecutionListener.java,3,42,"The method 'create(ConfigurationParameters, BiConsumer<TestIdentifier, ReportEntry>)' has a cyclomatic complexity of 11.",Design,CyclomaticComplexity
